"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03010","mmu03010","Ribosome - Mus musculus (house mouse)","20/229","177/9325",1.12392771427507e-08,2.61875157426091e-06,2.40165606313514e-06,"Rpl28/Rpl37/Rps14/Rps21/Rsl24d1/Rpl8/Rpl27/Rps7/Rps5/Mrpl3/Rpl34/Rpl23/Mrps18a/Rpl6/Mrpl20/Rps19/Mrpl2/Rpl37a/Rpl18/Mrpl30",20
"mmu03040","mmu03040","Spliceosome - Mus musculus (house mouse)","16/229","180/9325",8.49116027178829e-06,0.000989220171663336,0.000907213439564749,"Snrpc/Eif4a3/Snrnp27/Snrnp200/Smndc1/Snrpe/Slu7/Sf3a3/Prpf31/Prpf6/Sf3b6/Sf3b4/Snrpb2/Ppih/Lsm2/Cwc15",16
"mmu05016","mmu05016","Huntington disease - Mus musculus (house mouse)","20/229","302/9325",5.15936224327683e-05,0.00400710467561167,0.0036749141592463,"Polr2k/Ndufb9/Psma6/Pik3c3/Ndufa12/Tbp/Cox8a/Ndufb5/Tbpl1/Cox7a2/Psmd7/Mtor/Psmc2/Atp5j/Psmc1/Polr2j/Cox5b/Ap2b1/Uqcrfs1/Psmb2",20
"mmu03050","mmu03050","Proteasome - Mus musculus (house mouse)","7/229","47/9325",0.000133837615009718,0.00779604107431605,0.00714974627551913,"Psma6/Pomp/Psmd7/Psmc2/Psmf1/Psmc1/Psmb2",7
"mmu04714","mmu04714","Thermogenesis - Mus musculus (house mouse)","16/229","231/9325",0.000176766873544662,0.00823733630718126,0.00755445796411925,"Ndufb9/Prkag1/Ndufa12/Smarcc2/Cox16/Cox8a/Ndufb5/Ndufaf1/Cox7a2/Mtor/Coa6/Atp5j/Cox5b/Nras/Uqcrfs1/Actl6a",16
"mmu05012","mmu05012","Parkinson disease - Mus musculus (house mouse)","17/229","264/9325",0.000266186285907902,0.0094885764887818,0.00870196985417982,"Ndufb9/Psma6/Ube2j2/Ndufa12/Slc39a13/Cox8a/Ndufb5/Cox7a2/Psmd7/Psmc2/Atp5j/Txn2/Psmc1/Cox5b/Slc39a9/Uqcrfs1/Psmb2",17
"mmu05014","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","21/229","369/9325",0.000285064529705891,0.0094885764887818,0.00870196985417982,"Rac1/Nup133/Nup214/Ndufb9/Gle1/Psma6/Nup155/Pik3c3/Ndufa12/Nup153/Cox8a/Ndufb5/Cox7a2/Psmd7/Mtor/Psmc2/Atp5j/Psmc1/Cox5b/Uqcrfs1/Psmb2",21
"mmu05171","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","16/229","249/9325",0.000412840684564796,0.0120239849379497,0.0110271919692965,"Rpl28/Rpl37/Rps14/Rps21/Rsl24d1/Rpl8/Rpl27/Rps7/Rps5/Rpl34/Rpl23/Rpl6/Rps19/Pik3r2/Rpl37a/Rpl18",16
"mmu05010","mmu05010","Alzheimer disease - Mus musculus (house mouse)","21/229","383/9325",0.000468988901955082,0.0121416015728371,0.0111350581399861,"Ndufb9/Psma6/Pik3c3/Ppid/Ndufa12/Slc39a13/Cox8a/Ndufb5/Cox7a2/Psmd7/Mtor/Psmc2/Pik3r2/Atp5j/Psmc1/Cox5b/Slc39a9/Csnk2b/Nras/Uqcrfs1/Psmb2",21
"mmu05017","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","11/229","141/9325",0.000686984431918932,0.0146987560936055,0.013480223569017,"Twnk/Psma6/Pik3c3/Tbp/Tbpl1/Psmd7/Mtor/Psmc2/Pik3r2/Psmc1/Psmb2",11
"mmu03250","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","7/229","61/9325",0.000693932691114422,0.0146987560936055,0.013480223569017,"Supt4a/Ccnt1/Nup153/Nelfa/Tnpo3/Cpsf7/Tsg101",7
"mmu05020","mmu05020","Prion disease - Mus musculus (house mouse)","16/229","267/9325",0.000882159311450481,0.0171285932973302,0.0157086263354779,"Rac1/Ndufb9/Psma6/Ndufa12/Cox8a/Ndufb5/Cox7a2/Psmd7/Psmc2/Pik3r2/Atp5j/Psmc1/Cox5b/Csnk2b/Uqcrfs1/Psmb2",16
"mmu05415","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","13/229","211/9325",0.00207900622643359,0.0372621885199252,0.0341731387826737,"Rac1/Ndufb9/Ndufa12/Prkcz/Cox8a/Ndufb5/Cox7a2/Mtor/Pik3r2/Atp5j/Cox5b/Mpc2/Uqcrfs1",13
"mmu03013","mmu03013","Nucleocytoplasmic transport - Mus musculus (house mouse)","9/229","117/9325",0.00230088855196225,0.0382933594719432,0.0351188252667922,"Nup133/Nup214/Eif4a3/Gle1/Nup155/Nup153/Ddx19a/Senp2/Tnpo3",9
