Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9655380	SRR9655380.fastq	Conventional base calls	Sanger / Illumina 1.9	9115626.0	0.0	25-371	52.0	36.66382909502895	111.69625629660541	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655381	SRR9655381.fastq	Conventional base calls	Sanger / Illumina 1.9	7352365.0	0.0	25-372	53.0	34.29089709043431	111.51986116032052	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655382	SRR9655382.fastq	Conventional base calls	Sanger / Illumina 1.9	9618080.0	0.0	25-370	53.0	30.65046308085431	112.059434107431	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655383	SRR9655383.fastq	Conventional base calls	Sanger / Illumina 1.9	6577366.0	0.0	25-372	52.0	37.975850474208215	110.70666555578632	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655384	SRR9655384.fastq	Conventional base calls	Sanger / Illumina 1.9	6449050.0	0.0	25-376	53.0	31.05116441487883	110.48130794458099	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655385	SRR9655385.fastq	Conventional base calls	Sanger / Illumina 1.9	8629023.0	0.0	25-371	53.0	37.60806479468407	111.70147060681145	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655386	SRR9655386.fastq	Conventional base calls	Sanger / Illumina 1.9	5825738.0	0.0	25-384	53.0	31.26490203400985	110.43234179085981	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655387	SRR9655387.fastq	Conventional base calls	Sanger / Illumina 1.9	8892921.0	0.0	25-374	52.0	34.680611515676844	111.84963298335833	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655388	SRR9655388.fastq	Conventional base calls	Sanger / Illumina 1.9	6256401.0	0.0	25-376	52.0	30.95549919273179	111.21385649673032	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655389	SRR9655389.fastq	Conventional base calls	Sanger / Illumina 1.9	8410895.0	0.0	25-370	53.0	34.105270690549126	112.00930768960973	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655390	SRR9655390.fastq	Conventional base calls	Sanger / Illumina 1.9	8214246.0	0.0	25-370	53.0	34.0681504517234	112.36668222500276	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655391	SRR9655391.fastq	Conventional base calls	Sanger / Illumina 1.9	7283874.0	0.0	25-369	53.0	35.3450558026684	112.16861878720033	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655392	SRR9655392.fastq	Conventional base calls	Sanger / Illumina 1.9	7712282.0	0.0	25-367	53.0	26.959042570026504	112.45588763481419	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655393	SRR9655393.fastq	Conventional base calls	Sanger / Illumina 1.9	5721694.0	0.0	25-370	53.0	30.335516350348485	111.1408355637334	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655394	SRR9655394.fastq	Conventional base calls	Sanger / Illumina 1.9	9254202.0	0.0	25-366	53.0	36.62411541136329	112.09316654207461	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655395	SRR9655395.fastq	Conventional base calls	Sanger / Illumina 1.9	8063790.0	0.0	25-367	53.0	31.845665335260442	112.20802129023697	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655396	SRR9655396.fastq	Conventional base calls	Sanger / Illumina 1.9	8186642.0	0.0	25-367	53.0	33.80574565998121	112.1546744074066	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655397	SRR9655397.fastq	Conventional base calls	Sanger / Illumina 1.9	8438865.0	0.0	25-371	53.0	33.46358280945587	112.1377871313263	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655398	SRR9655398.fastq	Conventional base calls	Sanger / Illumina 1.9	7369410.0	0.0	25-370	53.0	30.28457009450322	111.81722851625842	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655399	SRR9655399.fastq	Conventional base calls	Sanger / Illumina 1.9	6326882.0	0.0	25-366	53.0	29.935155120818003	111.10561663707337	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655400	SRR9655400.fastq	Conventional base calls	Sanger / Illumina 1.9	5017201.0	0.0	25-376	52.0	34.65396432469606	110.93932114738875	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655401	SRR9655401.fastq	Conventional base calls	Sanger / Illumina 1.9	6674160.0	0.0	25-372	52.0	41.93006877360189	111.169169903029	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655402	SRR9655402.fastq	Conventional base calls	Sanger / Illumina 1.9	8794799.0	0.0	25-373	53.0	34.64091252864564	112.0572843108751	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655403	SRR9655403.fastq	Conventional base calls	Sanger / Illumina 1.9	7225726.0	0.0	25-369	53.0	29.889656414474942	111.61728440851479	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655404	SRR9655404.fastq	Conventional base calls	Sanger / Illumina 1.9	6518665.0	0.0	25-368	52.0	30.449125597397238	111.79320919237298	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655405	SRR9655405.fastq	Conventional base calls	Sanger / Illumina 1.9	6513729.0	0.0	25-370	53.0	26.768760447144174	112.16854155277261	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655406	SRR9655406.fastq	Conventional base calls	Sanger / Illumina 1.9	7026590.0	0.0	25-367	53.0	32.075957124514446	112.14544466092372	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655407	SRR9655407.fastq	Conventional base calls	Sanger / Illumina 1.9	6973909.0	0.0	25-373	53.0	35.117447895427176	112.33895108181079	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655408	SRR9655408.fastq	Conventional base calls	Sanger / Illumina 1.9	8070866.0	0.0	25-371	53.0	35.82110732685044	112.14818930211455	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655409	SRR9655409.fastq	Conventional base calls	Sanger / Illumina 1.9	6365684.0	0.0	25-363	53.0	28.30115925822107	111.92410619188763	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655410	SRR9655410.fastq	Conventional base calls	Sanger / Illumina 1.9	6496813.0	0.0	25-364	52.0	39.22441898568614	110.96681526773204	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655411	SRR9655411.fastq	Conventional base calls	Sanger / Illumina 1.9	7075196.0	0.0	25-369	52.0	31.56530659087083	111.02778269322857	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655412	SRR9655412.fastq	Conventional base calls	Sanger / Illumina 1.9	6941011.0	0.0	25-372	52.0	36.43859372208437	111.32031457665173	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR9655413	SRR9655413.fastq	Conventional base calls	Sanger / Illumina 1.9	7356882.0	0.0	25-371	52.0	38.551075075524174	111.14097996950339	114	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
