Sample	Rsem_mqc-generalstats-rsem-alignable_percent	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR9655380	100.0	93.39	8513104.0	63.33617090497105	52.0	111.69625629660541	114	40.0	9115626.0
SRR9655381	100.0	93.79	6896015.0	65.7091029095657	53.0	111.51986116032052	114	40.0	7352365.0
SRR9655382	100.0	94.14	9054072.0	69.34953691914569	53.0	112.059434107431	114	40.0	9618080.0
SRR9655383	100.0	92.58	6089215.0	62.024149525791785	52.0	110.70666555578632	114	40.0	6577366.0
SRR9655384	100.0	92.38	5957768.0	68.94883558512117	53.0	110.48130794458099	114	40.0	6449050.0
SRR9655385	100.0	93.73	8088300.0	62.39193520531593	53.0	111.70147060681145	114	40.0	8629023.0
SRR9655386	100.0	93.37	5439582.0	68.73509796599015	53.0	110.43234179085981	114	40.0	5825738.0
SRR9655387	100.0	93.54	8318321.0	65.31938848432316	52.0	111.84963298335833	114	40.0	8892921.0
SRR9655388	100.0	93.39	5842834.0	69.04450080726821	52.0	111.21385649673032	114	40.0	6256401.0
SRR9655389	100.0	93.57	7870209.0	65.89472930945087	53.0	112.00930768960973	114	40.0	8410895.0
SRR9655390	100.0	93.05	7642969.0	65.9318495482766	53.0	112.36668222500276	114	40.0	8214246.0
SRR9655391	100.0	93.08	6779940.0	64.6549441973316	53.0	112.16861878720033	114	40.0	7283874.0
SRR9655392	100.0	94.28	7271216.0	73.0409574299735	53.0	112.45588763481419	114	40.0	7712282.0
SRR9655393	100.0	93.25	5335392.0	69.66448364965152	53.0	111.1408355637334	114	40.0	5721694.0
SRR9655394	100.0	92.91	8597787.0	63.37588458863671	53.0	112.09316654207461	114	40.0	9254202.0
SRR9655395	100.0	93.07	7504890.0	68.15433466473957	53.0	112.20802129023697	114	40.0	8063790.0
SRR9655396	100.0	93.87	7684544.0	66.19425434001879	53.0	112.1546744074066	114	40.0	8186642.0
SRR9655397	100.0	94.07	7938260.0	66.53641719054413	53.0	112.1377871313263	114	40.0	8438865.0
SRR9655398	100.0	92.99	6853166.0	69.71542990549678	53.0	111.81722851625842	114	40.0	7369410.0
SRR9655399	100.0	93.24	5899352.0	70.064844879182	53.0	111.10561663707337	114	40.0	6326882.0
SRR9655400	100.0	92.57	4644620.0	65.34603567530394	52.0	110.93932114738875	114	40.0	5017201.0
SRR9655401	100.0	92.22	6154865.0	58.06993122639811	52.0	111.169169903029	114	40.0	6674160.0
SRR9655402	100.0	93.98	8265160.0	65.35908747135436	53.0	112.0572843108751	114	40.0	8794799.0
SRR9655403	100.0	93.62	6765066.0	70.11034358552506	53.0	111.61728440851479	114	40.0	7225726.0
SRR9655404	100.0	91.7	5977665.0	69.55087440260276	52.0	111.79320919237298	114	40.0	6518665.0
SRR9655405	100.0	93.76	6107075.0	73.23123955285583	53.0	112.16854155277261	114	40.0	6513729.0
SRR9655406	100.0	93.63	6578901.0	67.92404287548555	53.0	112.14544466092372	114	40.0	7026590.0
SRR9655407	100.0	92.42	6445434.0	64.88255210457282	53.0	112.33895108181079	114	40.0	6973909.0
SRR9655408	100.0	93.71	7563100.0	64.17889267314956	53.0	112.14818930211455	114	40.0	8070866.0
SRR9655409	100.0	93.88	5976026.0	71.69884074177892	53.0	111.92410619188763	114	40.0	6365684.0
SRR9655410	100.0	92.54	6012050.0	60.77558101431386	52.0	110.96681526773204	114	40.0	6496813.0
SRR9655411	100.0	93.23	6596490.0	68.43469340912917	52.0	111.02778269322857	114	40.0	7075196.0
SRR9655412	100.0	93.27	6473846.0	63.56140627791563	52.0	111.32031457665173	114	40.0	6941011.0
SRR9655413	100.0	92.23	6785130.0	61.448924924475826	52.0	111.14097996950339	114	40.0	7356882.0
