Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
SRR9655380	0	6819645	0	6819645	100.0	6301843	517802	5580979
SRR9655381	0	5587916	0	5587916	100.0	5119088	468828	4641807
SRR9655382	0	7337433	0	7337433	100.0	6824916	512517	6023614
SRR9655383	0	4835965	0	4835965	100.0	4479857	356108	3948825
SRR9655384	0	4785584	0	4785584	100.0	4397325	388259	3972179
SRR9655385	0	6540045	0	6540045	100.0	6017062	522983	5352560
SRR9655386	0	4307729	0	4307729	100.0	3980403	327326	3519716
SRR9655387	0	6639672	0	6639672	100.0	6154095	485577	5470059
SRR9655388	0	4652110	0	4652110	100.0	4281745	370365	3834485
SRR9655389	0	6303733	0	6303733	100.0	5842294	461439	5336766
SRR9655390	0	6153946	0	6153946	100.0	5744370	409576	5094145
SRR9655391	0	5384038	0	5384038	100.0	5004012	380026	4440214
SRR9655392	0	5981281	0	5981281	100.0	5594499	386782	4942051
SRR9655393	0	4173837	0	4173837	100.0	3889814	284023	3459520
SRR9655394	0	7039261	0	7039261	100.0	6484305	554956	5739528
SRR9655395	0	6102532	0	6102532	100.0	5680646	421886	5079616
SRR9655396	0	6326489	0	6326489	100.0	5889366	437123	5132908
SRR9655397	0	6514071	0	6514071	100.0	6046028	468043	5338635
SRR9655398	0	5731532	0	5731532	100.0	5306932	424600	4644875
SRR9655399	0	4679054	0	4679054	100.0	4359674	319380	3882065
SRR9655400	0	3674493	0	3674493	100.0	3387572	286921	3040192
SRR9655401	0	4787163	0	4787163	100.0	4416932	370231	3999206
SRR9655402	0	6761337	0	6761337	100.0	6286254	475083	5617623
SRR9655403	0	5490647	0	5490647	100.0	5109176	381471	4419676
SRR9655404	0	5007599	0	5007599	100.0	4649980	357619	4098651
SRR9655405	0	4978492	0	4978492	100.0	4639374	339118	4058509
SRR9655406	0	5390579	0	5390579	100.0	4965232	425347	4398807
SRR9655407	0	5126772	0	5126772	100.0	4771655	355117	4257081
SRR9655408	0	6142542	0	6142542	100.0	5675022	467520	5058653
SRR9655409	0	4877379	0	4877379	100.0	4529442	347937	4000503
SRR9655410	0	4760915	0	4760915	100.0	4409362	351553	3974514
SRR9655411	0	5255775	0	5255775	100.0	4890700	365075	4304243
SRR9655412	0	5158576	0	5158576	100.0	4797037	361539	4249386
SRR9655413	0	5385202	0	5385202	100.0	4997665	387537	4493788
