Module	Section	Sample Name	Source
Rsem	all_sections	SRR9655406	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655406.stat/SRR9655406.cnt
Rsem	all_sections	SRR9655390	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655390.stat/SRR9655390.cnt
Rsem	all_sections	SRR9655410	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655410.stat/SRR9655410.cnt
Rsem	all_sections	SRR9655386	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655386.stat/SRR9655386.cnt
Rsem	all_sections	SRR9655387	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655387.stat/SRR9655387.cnt
Rsem	all_sections	SRR9655411	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655411.stat/SRR9655411.cnt
Rsem	all_sections	SRR9655391	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655391.stat/SRR9655391.cnt
Rsem	all_sections	SRR9655407	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655407.stat/SRR9655407.cnt
Rsem	all_sections	SRR9655400	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655400.stat/SRR9655400.cnt
Rsem	all_sections	SRR9655396	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655396.stat/SRR9655396.cnt
Rsem	all_sections	SRR9655380	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655380.stat/SRR9655380.cnt
Rsem	all_sections	SRR9655381	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655381.stat/SRR9655381.cnt
Rsem	all_sections	SRR9655397	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655397.stat/SRR9655397.cnt
Rsem	all_sections	SRR9655401	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655401.stat/SRR9655401.cnt
Rsem	all_sections	SRR9655382	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655382.stat/SRR9655382.cnt
Rsem	all_sections	SRR9655394	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655394.stat/SRR9655394.cnt
Rsem	all_sections	SRR9655402	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655402.stat/SRR9655402.cnt
Rsem	all_sections	SRR9655398	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655398.stat/SRR9655398.cnt
Rsem	all_sections	SRR9655399	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655399.stat/SRR9655399.cnt
Rsem	all_sections	SRR9655403	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655403.stat/SRR9655403.cnt
Rsem	all_sections	SRR9655395	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655395.stat/SRR9655395.cnt
Rsem	all_sections	SRR9655383	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655383.stat/SRR9655383.cnt
Rsem	all_sections	SRR9655388	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655388.stat/SRR9655388.cnt
Rsem	all_sections	SRR9655408	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655408.stat/SRR9655408.cnt
Rsem	all_sections	SRR9655384	/Users/qh_tan/qianhui/work/deaf1/gse133979_muscle/data/02_aligned/02_RSEM/SRR9655384.stat/SRR9655384.cnt
