Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR9655380	9115626.0	112.0	8513104.0	93.39	110.85	7818757.0	7779146.0	7720081.0	56815.0	2787.0	39074.0	0.23	0.07	1.11	0.16	1.2	273216.0	3.0	5408.0	0.06	0.0	3.49	0.06	0	318424	5474
SRR9655381	7352365.0	112.0	6896015.0	93.79	111.02	6274249.0	6246675.0	6201567.0	42812.0	2401.0	27469.0	0.23	0.07	1.11	0.15	1.21	221265.0	3.01	4257.0	0.06	0.0	3.07	0.07	0	225682	5146
SRR9655382	9618080.0	112.0	9054072.0	94.14	111.05	8449962.0	8405832.0	8334834.0	68066.0	2983.0	44079.0	0.22	0.07	1.1	0.14	1.21	241199.0	2.51	3709.0	0.04	0.0	3.28	0.04	0	315255	3845
SRR9655383	6577366.0	111.0	6089215.0	92.58	109.71	5627902.0	5595489.0	5553523.0	40095.0	2088.0	32196.0	0.26	0.07	1.11	0.17	1.22	209431.0	3.18	3059.0	0.05	0.0	4.14	0.05	0	272371	3290
SRR9655384	6449050.0	111.0	5957768.0	92.38	110.06	5408285.0	5373213.0	5337184.0	34645.0	2076.0	34380.0	0.25	0.07	1.12	0.16	1.22	260649.0	4.04	4202.0	0.07	0.0	3.43	0.08	0	221270	5161
SRR9655385	8629023.0	112.0	8088300.0	93.73	111.05	7414885.0	7383801.0	7317860.0	63343.0	3079.0	30603.0	0.22	0.07	1.1	0.15	1.2	262574.0	3.04	4290.0	0.05	0.0	3.12	0.05	0	269539	4320
SRR9655386	5825738.0	111.0	5439582.0	93.37	110.13	4932002.0	4902700.0	4869393.0	32356.0	1817.0	28436.0	0.28	0.06	1.12	0.17	1.22	169404.0	2.91	3363.0	0.06	0.0	3.6	0.07	0	209319	4070
SRR9655387	8892921.0	112.0	8318321.0	93.54	110.86	7680598.0	7645178.0	7581446.0	61519.0	2896.0	34737.0	0.24	0.07	1.1	0.16	1.2	252541.0	2.84	5198.0	0.06	0.0	3.5	0.07	0	310648	6213
SRR9655388	6256401.0	112.0	5842834.0	93.39	110.46	5361969.0	5332569.0	5293292.0	37790.0	2273.0	28614.0	0.25	0.07	1.11	0.16	1.22	188004.0	3.0	3328.0	0.05	0.0	3.5	0.06	0	218489	3746
SRR9655389	8410895.0	112.0	7870209.0	93.57	111.05	7318773.0	7268255.0	7203750.0	61583.0	2556.0	50884.0	0.23	0.08	1.1	0.14	1.21	240658.0	2.86	3478.0	0.04	0.0	3.49	0.04	0	293190	3360
