"","norm_counts","sample","condition","sex","sample_no"
"cachexia_f_1",55.6873889741948,"cachexia_f_1","cachexia","f","1"
"cachexia_f_2",68.7224404368157,"cachexia_f_2","cachexia","f","2"
"cachexia_f_3",58.8075547964912,"cachexia_f_3","cachexia","f","3"
"cachexia_f_4",58.5706728876909,"cachexia_f_4","cachexia","f","4"
"cachexia_f_5",78.6903820896808,"cachexia_f_5","cachexia","f","5"
"cachexia_f_6",77.5716364959863,"cachexia_f_6","cachexia","f","6"
"cachexia_f_7",47.6492997268684,"cachexia_f_7","cachexia","f","7"
"cachexia_f_8",73.4363631828883,"cachexia_f_8","cachexia","f","8"
"cachexia_f_9",53.6883831809273,"cachexia_f_9","cachexia","f","9"
"cachexia_f_10",82.7838342861026,"cachexia_f_10","cachexia","f","10"
"cachexia_f_11",56.6615542799583,"cachexia_f_11","cachexia","f","11"
"cachexia_m_1",73.301002986897,"cachexia_m_1","cachexia","m","1"
"cachexia_m_2",54.5746565230733,"cachexia_m_2","cachexia","m","2"
"cachexia_m_3",55.7680659010103,"cachexia_m_3","cachexia","m","3"
"cachexia_m_4",96.7751792422563,"cachexia_m_4","cachexia","m","4"
"cachexia_m_5",70.0985027581775,"cachexia_m_5","cachexia","m","5"
"cachexia_m_6",72.0164311704306,"cachexia_m_6","cachexia","m","6"
"cachexia_m_7",102.302476244049,"cachexia_m_7","cachexia","m","7"
"cachexia_m_8",94.18895099889,"cachexia_m_8","cachexia","m","8"
"cachexia_m_9",91.9163793424846,"cachexia_m_9","cachexia","m","9"
"cachexia_m_10",61.7196036552622,"cachexia_m_10","cachexia","m","10"
"cachexia_m_11",82.3848505626242,"cachexia_m_11","cachexia","m","11"
"cachexia_m_12",137.837125926972,"cachexia_m_12","cachexia","m","12"
"ctrl_f_1",91.3652962425601,"ctrl_f_1","ctrl","f","1"
"ctrl_f_2",64.6661383412991,"ctrl_f_2","ctrl","f","2"
"ctrl_f_3",91.173167409527,"ctrl_f_3","ctrl","f","3"
"ctrl_f_4",69.5202533103421,"ctrl_f_4","ctrl","f","4"
"ctrl_f_5",65.139590846382,"ctrl_f_5","ctrl","f","5"
"ctrl_f_6",79.407114375435,"ctrl_f_6","ctrl","f","6"
"ctrl_m_1",86.1418512684642,"ctrl_m_1","ctrl","m","1"
"ctrl_m_2",131.545573438481,"ctrl_m_2","ctrl","m","2"
"ctrl_m_3",72.2087243309629,"ctrl_m_3","ctrl","m","3"
"ctrl_m_4",118.527970789876,"ctrl_m_4","ctrl","m","4"
"ctrl_m_5",90.4234008260038,"ctrl_m_5","ctrl","m","5"
