title tissue_ch1 treatment_ch1 age_ch1
10m_Sol_rep1 "Soleus muscle" vehicle "post natal month 10"
10m_Sol_rep2 "Soleus muscle" vehicle "post natal month 10"
10m_Sol_rep3 "Soleus muscle" vehicle "post natal month 10"
10m_Sol_rep4 "Soleus muscle" vehicle "post natal month 10"
10m_Sol_rep5 "Soleus muscle" vehicle "post natal month 10"
10m_Sol_rep6 "Soleus muscle" vehicle "post natal month 10"
30m_Sol_rep1 "Soleus muscle" vehicle "post natal month 30"
30m_Sol_rep2 "Soleus muscle" vehicle "post natal month 30"
30m_Sol_rep3 "Soleus muscle" vehicle "post natal month 30"
30m_Sol_rep4 "Soleus muscle" vehicle "post natal month 30"
30m_Sol_rep5 "Soleus muscle" vehicle "post natal month 30"
30m_Sol_RM_rep1 "Soleus muscle" rapamycin "post natal month 30"
30m_Sol_RM_rep2 "Soleus muscle" rapamycin "post natal month 30"
30m_Sol_RM_rep3 "Soleus muscle" rapamycin "post natal month 30"
30m_Sol_RM_rep4 "Soleus muscle" rapamycin "post natal month 30"
30m_Sol_RM_rep5 "Soleus muscle" rapamycin "post natal month 30"
30m_Sol_RM_rep6 "Soleus muscle" rapamycin "post natal month 30"
10m_TA_rep1 "Tibialis anterior muscle" vehicle "post natal month 10"
10m_TA_rep2 "Tibialis anterior muscle" vehicle "post natal month 10"
10m_TA_rep3 "Tibialis anterior muscle" vehicle "post natal month 10"
10m_TA_rep4 "Tibialis anterior muscle" vehicle "post natal month 10"
10m_TA_rep5 "Tibialis anterior muscle" vehicle "post natal month 10"
10m_TA_rep6 "Tibialis anterior muscle" vehicle "post natal month 10"
30m_TA_rep1 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_rep2 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_rep3 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_rep4 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_rep5 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_rep6 "Tibialis anterior muscle" vehicle "post natal month 30"
30m_TA_RM_rep1 "Tibialis anterior muscle" rapamycin "post natal month 30"
30m_TA_RM_rep2 "Tibialis anterior muscle" rapamycin "post natal month 30"
30m_TA_RM_rep3 "Tibialis anterior muscle" rapamycin "post natal month 30"
30m_TA_RM_rep4 "Tibialis anterior muscle" rapamycin "post natal month 30"
30m_TA_RM_rep5 "Tibialis anterior muscle" rapamycin "post natal month 30"
30m_TA_RM_rep6 "Tibialis anterior muscle" rapamycin "post natal month 30"
10m_TRI_rep1 "Triceps brachii muscle" vehicle "post natal month 10"
10m_TRI_rep2 "Triceps brachii muscle" vehicle "post natal month 10"
10m_TRI_rep3 "Triceps brachii muscle" vehicle "post natal month 10"
10m_TRI_rep4 "Triceps brachii muscle" vehicle "post natal month 10"
10m_TRI_rep5 "Triceps brachii muscle" vehicle "post natal month 10"
10m_TRI_rep6 "Triceps brachii muscle" vehicle "post natal month 10"
30m_TRI_rep1 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_rep2 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_rep3 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_rep4 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_rep5 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_rep6 "Triceps brachii muscle" vehicle "post natal month 30"
30m_TRI_RM_rep1 "Triceps brachii muscle" rapamycin "post natal month 30"
30m_TRI_RM_rep2 "Triceps brachii muscle" rapamycin "post natal month 30"
30m_TRI_RM_rep3 "Triceps brachii muscle" rapamycin "post natal month 30"
30m_TRI_RM_rep4 "Triceps brachii muscle" rapamycin "post natal month 30"
30m_TRI_RM_rep5 "Triceps brachii muscle" rapamycin "post natal month 30"
30m_TRI_RM_rep6 "Triceps brachii muscle" rapamycin "post natal month 30"
10m_GAS_rep1 "Gastrocnemius muscle" vehicle "post natal month 10"
10m_GAS_rep2 "Gastrocnemius muscle" vehicle "post natal month 10"
10m_GAS_rep3 "Gastrocnemius muscle" vehicle "post natal month 10"
10m_GAS_rep4 "Gastrocnemius muscle" vehicle "post natal month 10"
10m_GAS_rep5 "Gastrocnemius muscle" vehicle "post natal month 10"
10m_GAS_rep6 "Gastrocnemius muscle" vehicle "post natal month 10"
30m_GAS_rep1 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_rep2 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_rep3 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_rep4 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_rep5 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_rep6 "Gastrocnemius muscle" vehicle "post natal month 30"
30m_GAS_RM_rep1 "Gastrocnemius muscle" rapamycin "post natal month 30"
30m_GAS_RM_rep2 "Gastrocnemius muscle" rapamycin "post natal month 30"
30m_GAS_RM_rep3 "Gastrocnemius muscle" rapamycin "post natal month 30"
30m_GAS_RM_rep4 "Gastrocnemius muscle" rapamycin "post natal month 30"
30m_GAS_RM_rep5 "Gastrocnemius muscle" rapamycin "post natal month 30"
30m_GAS_RM_rep6 "Gastrocnemius muscle" rapamycin "post natal month 30"
