"","norm_counts","age","muscle","rep"
"X8m_GAS_rep1",161.158641732427,"X8m","GAS","rep1"
"X8m_GAS_rep2",172.903192005094,"X8m","GAS","rep2"
"X8m_GAS_rep3",159.382200867398,"X8m","GAS","rep3"
"X8m_GAS_rep4",170.578827799907,"X8m","GAS","rep4"
"X8m_GAS_rep5",166.866606239128,"X8m","GAS","rep5"
"X8m_GAS_rep6",157.235161193407,"X8m","GAS","rep6"
"X8m_GAS_rep7",167.426332827374,"X8m","GAS","rep7"
"X8m_GAS_rep8",157.402366505271,"X8m","GAS","rep8"
"X18m_GAS_rep1",164.865953770862,"X18m","GAS","rep1"
"X18m_GAS_rep2",205.438910197823,"X18m","GAS","rep2"
"X18m_GAS_rep3",126.70342721553,"X18m","GAS","rep3"
"X18m_GAS_rep4",156.245753012179,"X18m","GAS","rep4"
"X18m_GAS_rep5",154.003731420155,"X18m","GAS","rep5"
"X18m_GAS_rep6",118.77189001977,"X18m","GAS","rep6"
"X18m_GAS_rep7",136.226132348696,"X18m","GAS","rep7"
"X18m_GAS_rep8",143.214056441558,"X18m","GAS","rep8"
"X22m_GAS_rep1",169.147028854551,"X22m","GAS","rep1"
"X22m_GAS_rep2",149.852833539483,"X22m","GAS","rep2"
"X22m_GAS_rep3",175.606658090371,"X22m","GAS","rep3"
"X22m_GAS_rep4",170.103633427198,"X22m","GAS","rep4"
"X22m_GAS_rep5",151.267323694455,"X22m","GAS","rep5"
"X22m_GAS_rep6",176.358551352642,"X22m","GAS","rep6"
"X22m_GAS_rep7",169.595002718326,"X22m","GAS","rep7"
"X22m_GAS_rep8",141.801377967966,"X22m","GAS","rep8"
"X24m_GAS_rep1",132.203509227972,"X24m","GAS","rep1"
"X24m_GAS_rep2",151.104550392888,"X24m","GAS","rep2"
"X24m_GAS_rep3",149.255323696647,"X24m","GAS","rep3"
"X24m_GAS_rep4",119.585397207122,"X24m","GAS","rep4"
"X24m_GAS_rep5",171.959773862627,"X24m","GAS","rep5"
"X24m_GAS_rep6",171.243556614276,"X24m","GAS","rep6"
"X24m_GAS_rep7",131.635962269887,"X24m","GAS","rep7"
"X24m_GAS_rep8",166.971869919623,"X24m","GAS","rep8"
"X26m_GAS_rep1",108.517898487424,"X26m","GAS","rep1"
"X26m_GAS_rep2",164.956116802278,"X26m","GAS","rep2"
"X26m_GAS_rep3",128.446007227371,"X26m","GAS","rep3"
"X26m_GAS_rep4",151.233392644088,"X26m","GAS","rep4"
"X26m_GAS_rep5",134.03826685497,"X26m","GAS","rep5"
"X26m_GAS_rep6",126.094377583555,"X26m","GAS","rep6"
"X26m_GAS_rep7",126.123448057212,"X26m","GAS","rep7"
"X26m_GAS_rep8",122.17300445898,"X26m","GAS","rep8"
"X26m_GAS_rep9",131.524813027027,"X26m","GAS","rep9"
"X28m_GAS_rep1",154.749113530425,"X28m","GAS","rep1"
"X28m_GAS_rep2",83.9316837924548,"X28m","GAS","rep2"
"X28m_GAS_rep3",137.400196450024,"X28m","GAS","rep3"
"X28m_GAS_rep4",149.694373104675,"X28m","GAS","rep4"
"X28m_GAS_rep5",141.862106236597,"X28m","GAS","rep5"
"X28m_GAS_rep6",154.929315250456,"X28m","GAS","rep6"
"X28m_GAS_rep7",103.528077634858,"X28m","GAS","rep7"
"X28m_GAS_rep8",124.847887522242,"X28m","GAS","rep8"
"X28m_GAS_rep9",158.255799224839,"X28m","GAS","rep9"
