"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"ENSG00000000003",113.55531983046,-0.014196655892883,0.0746753056664818,-0.190111788176519,0.849221532910735,NA,"protein_coding","TSPAN6"
"ENSG00000000005",33.9413658030588,-0.00143940585279666,0.497732193407199,-0.00289192837405852,0.997692578215649,NA,"protein_coding","TNMD"
"ENSG00000000419",651.30580880125,-0.0901712142748333,0.0591053919789024,-1.52560047832894,0.12710939293966,0.456044482638541,"protein_coding","DPM1"
"ENSG00000000457",438.911562591672,-0.0126278890813009,0.0379199884903099,-0.333014053644236,0.739123674782526,0.904717204775018,"protein_coding","SCYL3"
"ENSG00000000460",116.675593286018,0.168387451680312,0.0650374296719124,2.58908527796622,0.00962312598499639,NA,"protein_coding","C1orf112"
"ENSG00000000938",56.2184706273649,-0.000789358616795872,0.182597130445082,-0.00432295192630795,0.996550794143986,NA,"protein_coding","FGR"
"ENSG00000000971",1059.11062590434,0.178567160011674,0.0984817678901301,1.81320018758082,0.0698009509292199,0.358610743821818,"protein_coding","CFH"
"ENSG00000001036",189.209264615287,-0.0511590064569972,0.0792863043780215,-0.645243927792133,0.518769123336809,0.794280395210513,"protein_coding","FUCA2"
"ENSG00000001084",648.852049112279,0.0239147915327685,0.0598430627916428,0.399625126408274,0.689432646975592,0.882889098308684,"protein_coding","GCLC"
"ENSG00000001167",462.343339957786,0.104220834385966,0.0545887597060139,1.90919953021912,0.0562363568861213,0.331454688779633,"protein_coding","NFYA"
"ENSG00000001460",35.6060996191506,0.195075369616341,0.12537748603926,1.55590429971818,0.119730850813923,NA,"protein_coding","STPG1"
"ENSG00000001461",281.369557005375,-0.135264153615635,0.0895286554099601,-1.51084759394908,0.130827285473785,0.460963977931702,"protein_coding","NIPAL3"
"ENSG00000001497",355.043812181032,0.101292285074385,0.0489200130819477,2.07056946008389,0.0383990486325487,0.278855572879728,"protein_coding","LAS1L"
"ENSG00000001561",1458.77602943773,-0.163333306457308,0.0727536856448304,-2.24501762363861,0.0247670012074994,0.233016976845454,"protein_coding","ENPP4"
"ENSG00000001617",170.519967587859,0.118961630743906,0.0859854600018276,1.38350868555425,0.166508945991127,NA,"protein_coding","SEMA3F"
"ENSG00000001629",1113.86710655958,-0.0423257190412519,0.0321580890954326,-1.3161764343536,0.188114831308718,0.527049973723019,"protein_coding","ANKIB1"
"ENSG00000001630",22.3456326002148,0.0611033367654592,0.132844911363391,0.459959934771713,0.645544978808575,NA,"protein_coding","CYP51A1"
"ENSG00000001631",1167.04568814341,-0.00945770359209503,0.033348239802586,-0.28360428160774,0.776713655538567,0.921429429141411,"protein_coding","KRIT1"
"ENSG00000002016",521.482629681308,0.0374964639715701,0.056883746490268,0.659177116225726,0.509782039942293,0.790249534961961,"protein_coding","RAD52"
"ENSG00000002330",253.6264766028,-0.115932825138778,0.0691076612414818,-1.67756834851748,0.0934313961008126,0.404715876375883,"protein_coding","BAD"
"ENSG00000002549",966.758425080321,-0.130727977717699,0.0651091938045382,-2.00782669971545,0.0446617105541704,0.300860107681704,"protein_coding","LAP3"
"ENSG00000002586",1714.80362820907,0.105924363131836,0.0592500633409261,1.78775105306377,0.0738161809820808,0.366704976720057,"protein_coding","CD99"
"ENSG00000002587",19.3922353431558,0.0324516922430254,0.165403057241327,0.196197656707624,0.844455462092219,NA,"protein_coding","HS3ST1"
"ENSG00000002746",58.0530023343981,0.0786377102105941,0.23617220613995,0.332967674291002,0.739158684356855,NA,"protein_coding","HECW1"
"ENSG00000002822",396.801268419811,0.0820716929814826,0.0525138452864778,1.56285818594617,0.118085954626135,0.443837235578171,"protein_coding","MAD1L1"
"ENSG00000002834",680.433542015379,0.0229682807103655,0.0790442065530706,0.290575131460704,0.771376281989675,0.919340969807196,"protein_coding","LASP1"
"ENSG00000002919",184.008183183285,0.0627312815396754,0.0522930692585483,1.19960986090754,0.230290895055751,0.571220173250978,"protein_coding","SNX11"
"ENSG00000002933",62.7845813589885,-0.126782917567361,0.141398800747598,-0.896633612852725,0.369914455860613,NA,"protein_coding","TMEM176A"
"ENSG00000003056",660.066492014348,-0.0539045603632435,0.0420977190320556,-1.28046273296179,0.200382443296227,0.541584749836137,"protein_coding","M6PR"
"ENSG00000003096",140.540588300456,-0.0836472562803248,0.0701814589468655,-1.19187115137709,0.23331177145338,NA,"protein_coding","KLHL13"
"ENSG00000003137",92.3515502566413,0.762078721100071,0.221480319544095,3.44084170850381,0.00057990768002794,NA,"protein_coding","CYP26B1"
"ENSG00000003147",101.749782801004,-0.0452700207321082,0.115383309397267,-0.392344620453228,0.694803598761916,NA,"protein_coding","ICA1"
"ENSG00000003249",416.878534970721,-0.0269220281890705,0.165167657470523,-0.162998183793187,0.870519864670974,0.957509567238751,"protein_coding","DBNDD1"
"ENSG00000003393",1438.41434922722,0.0475048629515723,0.0365493647601036,1.29974524217798,0.19368829860913,0.53467822030667,"protein_coding","ALS2"
"ENSG00000003400",297.206277656449,-0.071274760941983,0.0718414961008542,-0.992111311851362,0.321143229057267,0.653268020765247,"protein_coding","CASP10"
"ENSG00000003402",9547.01879184595,0.0404607958514285,0.0525116524548808,0.770510809694922,0.440996945327905,0.746430160172434,"protein_coding","CFLAR"
"ENSG00000003436",973.898186908742,-0.0702122690466526,0.0951173947369856,-0.738164341451954,0.460414588822182,0.758765072750023,"protein_coding","TFPI"
"ENSG00000003509",544.686425771487,-0.135458181902512,0.0550878113711156,-2.45895014760991,0.0139343965641252,0.183590753161975,"protein_coding","NDUFAF7"
"ENSG00000003756",3192.83164702432,0.0793459849671848,0.0390908725792156,2.02978290664641,0.0423786112107925,0.292388906335766,"protein_coding","RBM5"
"ENSG00000003989",14128.2175798933,-0.0292373496042375,0.0718504890480842,-0.406919284636617,0.684067271604755,0.880324057068388,"protein_coding","SLC7A2"
"ENSG00000004059",540.18605988268,-0.0425639906046332,0.045033393765008,-0.945165066322547,0.34457461111818,0.672322574233137,"protein_coding","ARF5"
"ENSG00000004139",159.730448822307,0.0785450241097742,0.0662039164678718,1.18641053732662,0.235460212393202,NA,"protein_coding","SARM1"
"ENSG00000004142",3144.83119066396,-0.0541499010621296,0.0394360118082726,-1.37310794320156,0.169718792057598,0.50543091847181,"protein_coding","POLDIP2"
"ENSG00000004399",1099.50219437934,-0.0261703766480493,0.0820620744658221,-0.31890951841522,0.749795126255676,0.907356711239042,"protein_coding","PLXND1"
"ENSG00000004455",1639.02863932002,-0.0669067870018019,0.0369022139301284,-1.81308327810589,0.0698189778653997,0.358610743821818,"protein_coding","AK2"
"ENSG00000004468",1353.81184918552,0.0777443881591503,0.105537629854453,0.736650882404388,0.461334683596908,0.759400854914898,"protein_coding","CD38"
"ENSG00000004478",1687.37795495569,-0.101637119043305,0.0638506834155111,-1.59179375390388,0.111431054070986,0.434850634181281,"protein_coding","FKBP4"
"ENSG00000004487",1361.470330483,-0.0300067031218112,0.0330909567126713,-0.90679466847572,0.364515389814549,0.690698548523573,"protein_coding","KDM1A"
"ENSG00000004534",1922.37543524182,-0.0425806429773081,0.0318273645360932,-1.33786267251316,0.18094120718044,0.517442963563723,"protein_coding","RBM6"
"ENSG00000004660",78.2119401555432,-0.0198825911753635,0.142397786101429,-0.139627108817557,0.888954620693377,NA,"protein_coding","CAMKK1"
"ENSG00000004700",533.769856650126,0.0765401472500888,0.0596685761814763,1.28275471191569,0.199578025143328,0.540888524148998,"protein_coding","RECQL"
"ENSG00000004766",881.278770339517,0.0110547684192561,0.0421087764014473,0.262528844672774,0.792913750148206,0.927539956105278,"protein_coding","VPS50"
"ENSG00000004776",2814.76046323372,0.196096210765222,0.159316617529567,1.23085848674153,0.218375796313687,0.559232978999884,"protein_coding","HSPB6"
