"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"ENSG00000000003",102.735647195533,0.132176260315911,0.111905489245346,1.18114188327369,0.237546363902642,0.999904657325184,"protein_coding","TSPAN6"
"ENSG00000000419",722.975469274704,0.0417177422722475,0.0770659520090016,0.54132520503185,0.588283450521175,0.999904657325184,"protein_coding","DPM1"
"ENSG00000000457",466.953896896922,0.0365894351703111,0.0791920717466746,0.462034069361843,0.64405688885102,0.999904657325184,"protein_coding","SCYL3"
"ENSG00000000460",130.834278166291,-0.0126161028561402,0.188224659566188,-0.0670268331748732,0.946560341445464,0.999904657325184,"protein_coding","C1orf112"
"ENSG00000000938",33.3585870449314,0.0960917241729166,0.278501948434192,0.345030707013608,0.73007128575748,0.999904657325184,"protein_coding","FGR"
"ENSG00000000971",886.983805180006,0.465086718405611,0.219931192514884,2.11469193199657,0.0344562124521397,0.999904657325184,"protein_coding","CFH"
"ENSG00000001036",175.652865558949,0.0658835290600311,0.12778831474579,0.515567712048582,0.60615636605162,0.999904657325184,"protein_coding","FUCA2"
"ENSG00000001084",732.472656901486,-0.0459473279919769,0.111244040446165,-0.413031815526444,0.679583303981248,0.999904657325184,"protein_coding","GCLC"
"ENSG00000001167",389.256078861042,-0.139961450666213,0.123711523334691,-1.1313533848222,0.257906383245353,0.999904657325184,"protein_coding","NFYA"
"ENSG00000001460",39.0390930161302,-0.098137380434385,0.170963897155623,-0.574024001950853,0.565951559299953,0.999904657325184,"protein_coding","STPG1"
"ENSG00000001461",242.468308280017,-0.0422012020436741,0.140274222513879,-0.300847877018165,0.76353049801851,0.999904657325184,"protein_coding","NIPAL3"
"ENSG00000001497",357.738505239628,0.0366279359157402,0.0834562943526669,0.43888763813259,0.660742954413633,0.999904657325184,"protein_coding","LAS1L"
"ENSG00000001561",1765.40462537737,0.017382933380641,0.0959583449034868,0.181150825372451,0.856249191586908,0.999904657325184,"protein_coding","ENPP4"
"ENSG00000001617",123.874704018451,0.138120362220366,0.167904027845406,0.822614942552406,0.410726998547305,0.999904657325184,"protein_coding","SEMA3F"
"ENSG00000001629",1128.37355840467,-0.0137191178692163,0.0565773296330722,-0.242484365348993,0.808404870071358,0.999904657325184,"protein_coding","ANKIB1"
"ENSG00000001630",24.5633794927305,0.163769372964036,0.222773329210515,0.735139047140053,0.462254815932515,0.999904657325184,"protein_coding","CYP51A1"
"ENSG00000001631",1300.72060521986,-0.0287802460689532,0.0670951894122716,-0.428946491112958,0.667962165677871,0.999904657325184,"protein_coding","KRIT1"
"ENSG00000002016",447.649129750084,0.0532621811771342,0.145084617494354,0.367111152767155,0.713536108534735,0.999904657325184,"protein_coding","RAD52"
"ENSG00000002330",271.224673537683,-0.0560288554917429,0.146915097285636,-0.381368943879269,0.702929502067417,0.999904657325184,"protein_coding","BAD"
"ENSG00000002549",900.807000805959,-0.0238936525916847,0.119019729030778,-0.200753713575552,0.840891157230259,0.999904657325184,"protein_coding","LAP3"
"ENSG00000002586",1316.32875994879,0.0309939598161893,0.0865886699498606,0.35794474997868,0.720384660771482,0.999904657325184,"protein_coding","CD99"
"ENSG00000002587",10.2584469824901,0.29117392556715,0.251513707110118,1.15768611147569,0.246992153718295,0.999904657325184,"protein_coding","HS3ST1"
"ENSG00000002746",61.2604095026391,-0.203851586506426,0.297999844022328,-0.684066084582086,0.49393343691311,0.999904657325184,"protein_coding","HECW1"
"ENSG00000002822",319.55318475064,-0.0862875368894199,0.101018460886431,-0.854175921235107,0.393007522576733,0.999904657325184,"protein_coding","MAD1L1"
"ENSG00000002834",490.472992502767,0.0670986402971813,0.117027420574401,0.573358277639922,0.566402133833805,0.999904657325184,"protein_coding","LASP1"
"ENSG00000002919",165.008753088928,-0.106280703042554,0.104702180775603,-1.01507630743942,0.310069454464333,0.999904657325184,"protein_coding","SNX11"
"ENSG00000002933",40.7948224450897,-0.137780424222346,0.319824063582936,-0.430800680470428,0.666613304752662,0.999904657325184,"protein_coding","TMEM176A"
"ENSG00000003056",724.943823458445,0.0140095501113286,0.057595166755272,0.24324176663741,0.807818113163926,0.999904657325184,"protein_coding","M6PR"
"ENSG00000003096",169.609818911395,-0.0613533186725906,0.0904165104450024,-0.678563222254744,0.49741465244247,0.999904657325184,"protein_coding","KLHL13"
"ENSG00000003137",71.7429626126515,-0.163071149897302,0.337812835378785,-0.482726328958024,0.629290066083456,0.999904657325184,"protein_coding","CYP26B1"
