"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"ENSG00000000003",102.735647195533,0.132199556177014,0.110090781443213,1.2008231247337,0.229819819619187,0.99963507905314,"protein_coding","TSPAN6"
"ENSG00000000419",722.975469274704,0.0344515018678805,0.076447244532338,0.45065720914646,0.652236627442577,0.99963507905314,"protein_coding","DPM1"
"ENSG00000000457",466.953896896922,0.028675295672946,0.0788544893005308,0.363648232679037,0.716120704623226,0.99963507905314,"protein_coding","SCYL3"
"ENSG00000000460",130.834278166291,0.00809869441878239,0.186668999783852,0.0433853206914915,0.965394379074782,0.99963507905314,"protein_coding","C1orf112"
"ENSG00000000938",33.3585870449314,0.0902492837439822,0.274567924734571,0.328695654567908,0.742385739153304,0.99963507905314,"protein_coding","FGR"
"ENSG00000000971",886.983805180006,0.48708702057565,0.221817904482579,2.19588685463352,0.0281000428519432,0.99963507905314,"protein_coding","CFH"
"ENSG00000001036",175.652865558949,0.0704323695699905,0.125909433341562,0.559389139485078,0.575896171758771,0.99963507905314,"protein_coding","FUCA2"
"ENSG00000001084",732.472656901486,-0.0395375170955688,0.111013664922229,-0.356150003004287,0.721728232002129,0.99963507905314,"protein_coding","GCLC"
"ENSG00000001167",389.256078861042,-0.127258711656645,0.123783680590716,-1.02807341847767,0.303915293337987,0.99963507905314,"protein_coding","NFYA"
"ENSG00000001460",39.0390930161302,-0.0843805631943546,0.16901274187893,-0.49925563159492,0.617599307564134,0.99963507905314,"protein_coding","STPG1"
"ENSG00000001461",242.468308280017,-0.0410491525067743,0.138168336963322,-0.297095220286767,0.766393813379052,0.99963507905314,"protein_coding","NIPAL3"
"ENSG00000001497",357.738505239628,0.0493548503222348,0.0848954201761518,0.581360575397672,0.560997462534518,0.99963507905314,"protein_coding","LAS1L"
"ENSG00000001561",1765.40462537737,-0.00759062362997574,0.100459101046596,-0.0755593425672301,0.939769683882915,0.99963507905314,"protein_coding","ENPP4"
"ENSG00000001617",123.874704018451,0.144696909611219,0.166384701579755,0.869652727909362,0.384490213204847,0.99963507905314,"protein_coding","SEMA3F"
"ENSG00000001629",1128.37355840467,-0.00950457227060265,0.0561936840698115,-0.16913951145817,0.865686906978255,0.99963507905314,"protein_coding","ANKIB1"
"ENSG00000001630",24.5633794927305,0.178564226765783,0.219366322738098,0.814000182603103,0.415644846356235,0.99963507905314,"protein_coding","CYP51A1"
"ENSG00000001631",1300.72060521986,-0.0239442095607031,0.0664583299177417,-0.360289065198296,0.718630975727716,0.99963507905314,"protein_coding","KRIT1"
