"","seqnames","start","end","width","strand","idr_name","scaled_idr","idr_strand","local_idr","global_idr","rep1_chromstart","rep1_chromend","rep1_signal","rep2_chromstart","rep2_chromend","rep2_signal","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes"
"1","chr1",166378462,166382216,3755,"*",".",845,".",1.99,2.04,166378501,166382203,186.80782,166378461,166382216,245.758,"Promoter",1,166379097,166393621,14525,1,"27878","ENSMUST00000027846","7",0,"ENSMUSG00000026563"
"2","chr7",126427901,126429745,1845,"*",".",826,".",1.9,1.99,126428279,126429503,131.42822,126427900,126429745,164.87032,"Promoter",7,126428759,126445901,17143,1,"70314","ENSMUST00000151304","7",0,"ENSMUSG00000030727"
"3","chr5",143527422,143528800,1379,"*",".",836,".",1.94,2.02,143527539,143528761,119.34243,143527421,143528800,149.10254,"Promoter",5,143503634,143528036,24403,2,"19353","ENSMUST00000080537","13",0,"ENSMUSG00000001847"
"4","chr15",95790481,95792623,2143,"*",".",808,".",1.82,1.95,95790480,95792531,109.16676,95790507,95792623,109.69282,"Promoter",15,95790843,95974751,183909,1,"105722","ENSMUST00000071874","7",0,"ENSMUSG00000064210"
"5","chr8",8688634,8691843,3210,"*",".",854,".",2.03,2.06,8689367,8691612,109.16571,8688633,8691843,144.28699,"Promoter",8,8690093,8690162,70,2,"102465762","ENSMUST00000185082","1",0,"ENSMUSG00000098917"
"6","chr7",4792394,4793284,891,"*",".",826,".",1.89,1.99,4792415,4793271,96.24286,4792393,4793284,102.29982,"Promoter",7,4792874,4795066,2193,1,"19943","ENSMUST00000032597","11",0,"ENSMUSG00000030432"
"7","chr11",50130687,50132454,1768,"*",".",838,".",1.94,2.02,50130734,50132051,92.74193,50130686,50132454,98.25042,"Promoter",11,50131396,50172030,40635,1,"76795","ENSMUST00000093138","12",0,"ENSMUSG00000036644"
"8","chr19",8940472,8943059,2588,"*",".",862,".",2.05,2.08,8941060,8942825,92.61285,8940471,8943059,123.52516,"Promoter",19,8941875,8952303,10429,1,"23942","ENSMUST00000096240","2",0,"ENSMUSG00000071646"
"9","chr15",77306378,77307454,1077,"*",".",873,".",2.08,2.1,77306467,77307421,91.16978,77306377,77307454,129.62741,"Promoter",15,77078990,77306928,227939,2,"93686","ENSMUST00000171751","9",0,"ENSMUSG00000033565"
"10","chr18",7868187,7870861,2675,"*",".",887,".",2.14,2.14,7868247,7870372,86.34943,7868186,7870861,171.97169,"Promoter",18,7868832,7926505,57674,1,"225131","ENSMUST00000171042","7",0,"ENSMUSG00000024283"
"11","chr13",113793861,113795737,1877,"*",".",851,".",2.01,2.05,113794006,113795597,81.88685,113793860,113795737,95.25849,"Promoter",13,113794505,114157461,362957,1,"218639","ENSMUST00000091201","6",0,"ENSMUSG00000042348"
"12","chrX",98936478,98938401,1924,"*",".",871,".",2.07,2.1,98936523,98938386,81.35974,98936477,98938401,118.5242,"Promoter",20,98937273,98943635,6363,1,"77929","ENSMUST00000151353","7",0,"ENSMUSG00000047694"
"13","chr14",34502430,34504462,2033,"*",".",865,".",2.06,2.08,34502522,34504336,76.62896,34502429,34504462,107.49927,"Promoter",14,34410734,34502687,91954,2,"12166","ENSMUST00000049005","14",0,"ENSMUSG00000021796"
"14","chr11",23306152,23307135,984,"*",".",845,".",1.99,2.04,23306272,23307135,75.06496,23306151,23307085,80.11336,"Promoter",11,23306895,23490560,183666,1,"17847","ENSMUST00000180046","7",0,"ENSMUSG00000056342"
"15","chrX",133897207,133898540,1334,"*",".",879,".",2.11,2.12,133897625,133898540,75.06496,133897206,133898539,121.85371,"Promoter",20,133891068,133898429,7362,2,"56496","ENSMUST00000087557","11",0,"ENSMUSG00000067377"
"16","chr7",3692095,3694596,2502,"*",".",853,".",2.03,2.06,3692441,3694543,70.41311,3692094,3694596,86.29952,"Promoter",7,3692863,3694806,1944,1,"66078","ENSMUST00000205734","1",0,"ENSMUSG00000035585"
"17","chr19",6060583,6061658,1076,"*",".",881,".",2.11,2.12,6060751,6061464,69.96671,6060582,6061658,121.85371,"Promoter",19,6061192,6062472,1281,1,"29805","ENSMUST00000162726","4",0,"ENSMUSG00000075227"
"18","chr7",130519445,130519973,529,"*",".",857,".",2.04,2.07,130519470,130519847,65.82376,130519444,130519973,86.29952,"Promoter",7,130391493,130519530,128038,2,"11907","ENSMUST00000035458","14",0,"ENSMUSG00000030850"
